Точка мониторинга,Среднее значение с MSK-IX,Среднее значение без MSK-IX
"Россия, Москва, восток 2","8,46","8,3"
"Россия, Москва, восток 3","9,61","9,5"
"Россия, Москва, запад 1","9,8","13,03"
"Россия, Москва, запад 2","10,94","11,99"
"Россия, Москва, запад 3","8,26","8,18"
"Россия, Москва, запад 4","11,01","10,32"
"Россия, Москва, север","8,23","8,02"
"Россия, Москва, северо-восток 1","9,04","8,63"
"Россия, Москва, северо-восток 2","10,6","10,54"
"Россия, Москва, северо-восток 3","10,31","11,05"
"Россия, Москва, северо-восток 4","9,57","8,55"
"Россия, Москва, северо-запад","9,8","10,98"
"Россия, Москва, центр 1","8,77","9,05"
"Россия, Москва, центр 2","45,34","13,21"
"Россия, Москва, центр 3","8,48","10,13"
"Россия, Москва, центр 4","8,33","8,37"
"Россия, Москва, юг 1","9,38","11,85"
"Россия, Москва, юг 2","7,48","9,21"
"Россия, Москва, юго-восток","43,3","43,65"
"Россия, Москва, юго-запад","8,83","9,11"
"Россия, Апатиты","49,75","40,63"
"Россия, Владивосток","137,14","137,47"
"Россия, Владимир","12,28","10,94"
"Россия, Дубровка","1,57","1,73"
"Россия, Екатеринбург, запад","36,91","46,96"
"Россия, Екатеринбург, север","36,25","36,92"
"Россия, Екатеринбург, юг","39,95","44,65"
"Россия, Казань","30,17","30,08"
"Россия, Калининград","31,23","31,82"
"Россия, Кемерово","62,76",64
"Россия, Королёв","12,53","13,27"
"Россия, Краснодар","24,93","26,06"
"Россия, Красноярск","71,52","73,58"
"Россия, Нижний Новгород","18,83",25
"Россия, Новокузнецк","66,06","68,39"
"Россия, Новосибирск, север","57,02","55,35"
"Россия, Новосибирск, юг","56,49","56,17"
"Россия, Омск",,"52,38"
"Россия, Пермь","36,88","45,05"
"Россия, Петрозаводск","25,88","27,26"
"Россия, Ростов-на-Дону","25,16","25,03"
"Россия, Санкт-Петербург, восток","0,57","0,52"
"Россия, Санкт-Петербург, центр 1","1,5","1,42"
"Россия, Санкт-Петербург, центр 2","0,43","0,73"
"Россия, Санкт-Петербург, юг","0,84","33,52"
"Россия, Саратов","24,21","23,84"
"Россия, Симферополь","31,71","31,6"
"Россия, Тамбов","18,87","18,07"
"Россия, Томск, восток","98,59","100,22"
"Россия, Томск, северо-запад","65,85","64,86"
"Россия, Томск, центр","64,67","65,95"
"Россия, Тюмень","54,18","53,98"
"Россия, Уфа","28,77","29,17"
"Россия, Хабаровск","127,33","151,49"
"Россия, Химки","9,14","10,27"
"Россия, Челябинск","45,7","46,43"
"Россия, Южно-Сахалинск","164,68","196,16"
"Россия, Ярославль","14,16","12,94"
"Азербайджан, Баку","64,75","60,07"
"Белоруссия, Минск","22,68","22,7"
"Грузия, Тбилиси","77,73","76,96"
"Казахстан, Алатау","70,82","70,87"
"Казахстан, Алматы","67,49","66,88"
"Казахстан, Караганда","58,16","59,01"
"Киргизия, Бишкек 1","65,25","65,54"
"Киргизия, Бишкек 2","65,29","96,47"
"Латвия, Рига","21,63","35,3"
"Литва, Вильнюс","46,51","46,46"
"Молдавия, Кишинёв","54,14","55,94"
"Узбекистан, Ташкент","93,78","79,73"
"Украина, Днепр","31,16","31,09"
"Украина, Киев, восток","26,79","27,95"
"Украина, Киев, запад","19,17","19,34"
"Украина, Киев, запад","47,25","47,25"
"Украина, Киев, центр","37,83","37,22"
"Украина, Киев, юг","52,16","46,8"
"Украина, Киев, юго-восток","25,26","25,32"
"Украина, Николаев","45,92","46,04"
"Украина, Одесса, восток","35,72","34,73"
"Украина, Одесса, запад","37,7","36,93"
"Украина, Харьков, север","18,18","18,16"
"Украина, Харьков, юг","19,07","18,87"
"Украина, Хмельницкий","32,63","31,27"
"Эстония, Таллинн","8,28","95,68"
