Точка мониторинга,IP,Результат,"RTT (мин.), мс.","RTT (макс.), мс.","RTT (сред.), мс."
"Россия, Москва, восток 1",188.225.27.13,OK,"8,8","9,19","9,01"
"Россия, Москва, восток 2",188.225.27.13,OK,"8,24","8,37","8,3"
"Россия, Москва, восток 3",188.225.27.13,OK,"9,46","9,57","9,5"
"Россия, Москва, запад 1",188.225.27.13,OK,11,"16,94","13,03"
"Россия, Москва, запад 2",188.225.27.13,OK,"11,78","12,18","11,99"
"Россия, Москва, запад 3",188.225.27.13,OK,"8,15","8,22","8,18"
"Россия, Москва, запад 4",188.225.27.13,OK,"9,79","11,22","10,32"
"Россия, Москва, север",188.225.27.13,OK,"7,99","8,04","8,02"
"Россия, Москва, северо-восток 1",188.225.27.13,OK,"8,35","9,16","8,63"
"Россия, Москва, северо-восток 2",188.225.27.13,OK,"9,93","10,9","10,54"
"Россия, Москва, северо-восток 3",188.225.27.13,OK,"10,52","11,89","11,05"
"Россия, Москва, северо-восток 4",188.225.27.13,OK,"8,24","8,94","8,55"
"Россия, Москва, северо-запад",188.225.27.13,OK,"10,87","11,13","10,98"
"Россия, Москва, центр 1",188.225.27.13,OK,"8,79","9,55","9,05"
"Россия, Москва, центр 2",188.225.27.13,OK,"8,51","16,31","13,21"
"Россия, Москва, центр 3",188.225.27.13,OK,"10,08","10,17","10,13"
"Россия, Москва, центр 4",188.225.27.13,OK,"8,35","8,39","8,37"
"Россия, Москва, юг 1",188.225.27.13,OK,"10,92","12,34","11,85"
"Россия, Москва, юг 2",188.225.27.13,OK,"9,05","9,51","9,21"
"Россия, Москва, юго-восток",188.225.27.13,OK,"42,73","44,29","43,65"
"Россия, Москва, юго-запад",188.225.27.13,OK,"8,53","9,54","9,11"
"Россия, Апатиты",188.225.27.13,OK,"40,5","40,73","40,63"
"Россия, Владивосток",188.225.27.13,OK,"137,29","137,57","137,47"
"Россия, Владимир",188.225.27.13,OK,"10,89","10,99","10,94"
