Точка мониторинга,IP,Результат,"RTT (мин.), мс.","RTT (макс.), мс.","RTT (сред.), мс."
"Россия, Москва, восток 1",46.229.212.120,OK,"8,79","9,96","9,21"
"Россия, Москва, восток 2",46.229.212.120,OK,"8,36","8,54","8,43"
"Россия, Москва, восток 3",46.229.212.120,OK,"9,86","9,92","9,88"
"Россия, Москва, запад 1",46.229.212.120,OK,"10,8","11,12","10,92"
"Россия, Москва, запад 2",46.229.212.120,OK,"10,42","22,25","14,68"
"Россия, Москва, запад 3",46.229.212.120,OK,"8,43","8,56","8,49"
"Россия, Москва, запад 4",46.229.212.120,OK,"9,8","9,95","9,86"
"Россия, Москва, север",46.229.212.120,OK,"7,99","8,06","8,03"
"Россия, Москва, северо-восток 1",46.229.212.120,OK,"9,91","9,93","9,92"
"Россия, Москва, северо-восток 2",46.229.212.120,OK,"9,52","14,06","11,17"
"Россия, Москва, северо-восток 3",46.229.212.120,OK,"8,32","8,87","8,53"
"Россия, Москва, северо-восток 4",46.229.212.120,OK,"8,91","9,46","9,28"
"Россия, Москва, северо-запад",46.229.212.120,OK,"9,79","9,88","9,82"
"Россия, Москва, центр 1",46.229.212.120,OK,"9,78","9,85","9,81"
"Россия, Москва, центр 2",46.229.212.120,OK,"9,25","9,35","9,3"
"Россия, Москва, центр 3",46.229.212.120,OK,"20,16","20,64","20,34"
"Россия, Москва, центр 4",46.229.212.120,OK,"8,83","8,85","8,84"
"Россия, Москва, юг 1",46.229.212.120,OK,"9,32","9,44","9,39"
"Россия, Москва, юг 2",46.229.212.120,OK,"7,45","7,6","7,5"
"Россия, Москва, юго-восток",46.229.212.120,OK,"50,19","50,75","50,49"
"Россия, Москва, юго-запад",46.229.212.120,OK,"8,21","8,72","8,38"
"Россия, Апатиты",46.229.212.120,OK,"40,29","40,53","40,37"
"Россия, Владивосток",46.229.212.120,OK,"137,36","137,48","137,41"
"Россия, Владимир",46.229.212.120,OK,"12,24","12,28","12,26"
"Россия, Дубровка",46.229.212.120,OK,"1,3","1,35","1,32"
"Россия, Екатеринбург, запад",46.229.212.120,OK,"37,1","37,15","37,13"
"Россия, Екатеринбург, север",46.229.212.120,OK,"38,38","38,51","38,43"
"Россия, Екатеринбург, юг",46.229.212.120,OK,"32,16","32,23","32,2"
"Россия, Казань",46.229.212.120,OK,"28,1","28,47","28,23"
"Россия, Калининград",46.229.212.120,OK,"31,45","32,36","31,91"
"Россия, Кемерово",46.229.212.120,OK,"69,77","69,81","69,79"
"Россия, Королёв",46.229.212.120,OK,"10,52","11,68","10,94"
"Россия, Краснодар",46.229.212.120,OK,"24,87","24,95","24,9"
"Россия, Красноярск",46.229.212.120,OK,"69,79","69,83","69,81"
"Россия, Нижний Новгород",46.229.212.120,OK,"14,32","14,95","14,7"
"Россия, Новокузнецк",46.229.212.120,OK,"73,36","73,4","73,38"
"Россия, Новосибирск, север",46.229.212.120,OK,"55,15","56,31","55,74"
"Россия, Новосибирск, юг",46.229.212.120,OK,"57,11","58,45","57,59"
"Россия, Омск",46.229.212.120,OK,"51,37","51,48","51,43"
"Россия, Пермь",46.229.212.120,OK,"46,69","46,84","46,76"
"Россия, Петрозаводск",46.229.212.120,OK,"26,96","27,03","26,99"
"Россия, Ростов-на-Дону",46.229.212.120,OK,"26,22","26,27","26,24"
"Россия, Санкт-Петербург, восток",46.229.212.120,OK,"10,97","11,19","11,04"
"Россия, Санкт-Петербург, центр 1",46.229.212.120,OK,"7,97","95,72","37,39"
"Россия, Санкт-Петербург, центр 2",46.229.212.120,OK,"0,38","0,51","0,43"
"Россия, Санкт-Петербург, юг",46.229.212.120,OK,"1,15",7,"3,74"
"Россия, Саратов",46.229.212.120,OK,"23,65","24,61","24,03"
"Россия, Симферополь",46.229.212.120,OK,"31,25","32,35","31,65"
"Россия, Тамбов",46.229.212.120,OK,"18,65","27,05","21,49"
"Россия, Томск, восток",46.229.212.120,OK,"119,13","119,8","119,37"
"Россия, Томск, северо-запад",46.229.212.120,OK,"71,35","71,87","71,67"
"Россия, Томск, центр",46.229.212.120,OK,"80,87","81,55","81,24"
"Россия, Тюмень",46.229.212.120,OK,"51,27","56,1","54,3"
"Россия, Уфа",46.229.212.120,OK,"40,68","45,6","42,66"
"Россия, Хабаровск",46.229.212.120,OK,"119,24","119,59","119,36"
"Россия, Химки",46.229.212.120,OK,"8,39","8,47","8,42"
"Россия, Челябинск",46.229.212.120,OK,"45,32","46,62","46,06"
"Россия, Южно-Сахалинск",46.229.212.120,OK,"157,02","157,48","157,24"
"Россия, Ярославль",46.229.212.120,OK,"24,67","24,8","24,72"
"Азербайджан, Баку",46.229.212.120,OK,"78,98","81,24",80
"Белоруссия, Минск",46.229.212.120,OK,"21,4","21,52","21,45"
"Грузия, Тбилиси",46.229.212.120,OK,"82,14","89,67","85,2"
"Казахстан, Алатау",46.229.212.120,OK,"73,45","74,74","73,89"
"Казахстан, Алматы",46.229.212.120,OK,"66,35","67,81","66,87"
"Казахстан, Караганда",46.229.212.120,OK,"57,67","65,58","60,34"
"Киргизия, Бишкек 1",46.229.212.120,OK,"66,5","67,95",67
"Киргизия, Бишкек 2",46.229.212.120,OK,"63,77","64,24","64,03"
"Латвия, Рига",46.229.212.120,OK,"20,93","21,05","20,98"
"Литва, Вильнюс",46.229.212.120,OK,"46,25","53,99","48,87"
"Молдавия, Кишинёв",46.229.212.120,OK,"71,91","72,08","71,98"
"Узбекистан, Ташкент",46.229.212.120,OK,"84,2","86,76","85,21"
"Украина, Днепр",46.229.212.120,OK,"28,18","29,25","28,56"
"Украина, Киев, восток",46.229.212.120,OK,"27,89","27,92","27,9"
"Украина, Киев, запад",46.229.212.120,OK,"19,38","19,42","19,4"
"Украина, Киев, запад",46.229.212.120,OK,"43,76","43,92","43,84"
"Украина, Киев, центр",46.229.212.120,OK,"27,69","27,83","27,76"
"Украина, Киев, юг",46.229.212.120,OK,"64,09","64,39","64,25"
"Украина, Киев, юго-восток",46.229.212.120,OK,"25,95","26,01","25,98"
"Украина, Николаев",46.229.212.120,OK,"55,32","55,59","55,46"
"Украина, Одесса, восток",46.229.212.120,OK,"34,87","34,94","34,9"
"Украина, Одесса, запад",46.229.212.120,OK,"42,85","53,56","46,77"
"Украина, Харьков, север",46.229.212.120,OK,"19,78","19,96","19,87"
"Украина, Харьков, юг",46.229.212.120,OK,"19,03","19,12","19,07"
"Украина, Хмельницкий",46.229.212.120,OK,"28,72","28,82","28,77"
"Эстония, Таллинн",46.229.212.120,OK,"8,09","8,15","8,12"
