Точка мониторинга,IP,Результат,"RTT (мин.), мс.","RTT (макс.), мс.","RTT (сред.), мс."
"Россия, Москва, восток 1",92.53.118.115,OK,"8,29","8,57","8,39"
"Россия, Москва, восток 2",92.53.118.115,OK,"9,89","10,02","9,94"
"Россия, Москва, восток 3",92.53.118.115,OK,"10,58","10,7","10,62"
"Россия, Москва, запад 1",92.53.118.115,OK,"8,59","8,77","8,68"
"Россия, Москва, запад 2",92.53.118.115,OK,"10,22","10,35","10,3"
"Россия, Москва, запад 3",92.53.118.115,OK,"8,06","8,18","8,12"
"Россия, Москва, запад 4",92.53.118.115,OK,"9,69","9,89","9,77"
"Россия, Москва, север",92.53.118.115,OK,"8,19","8,69","8,38"
"Россия, Москва, северо-восток 1",92.53.118.115,OK,"9,39","11,12","10,01"
"Россия, Москва, северо-восток 2",92.53.118.115,OK,"10,51","12,82","11,71"
"Россия, Москва, северо-восток 3",92.53.118.115,OK,"8,95",9,"8,97"
"Россия, Москва, северо-восток 4",92.53.118.115,OK,"9,96","10,06","10,02"
"Россия, Москва, северо-запад",92.53.118.115,OK,"8,81","9,13","8,95"
"Россия, Москва, центр 1",92.53.118.115,OK,"9,77","9,81","9,79"
"Россия, Москва, центр 2",92.53.118.115,OK,"8,69","8,93","8,81"
"Россия, Москва, центр 3",92.53.118.115,OK,"8,64","8,88","8,75"
"Россия, Москва, центр 4",92.53.118.115,OK,"8,55","10,87","9,36"
"Россия, Москва, юг 1",92.53.118.115,OK,"9,19","9,28","9,23"
"Россия, Москва, юг 2",92.53.118.115,OK,"8,8","8,89","8,83"
"Россия, Москва, юго-восток",92.53.118.115,OK,"41,2","41,27","41,23"
"Россия, Москва, юго-запад",92.53.118.115,Потеряно 25% пакетов,"7,91","9,31","8,8"
"Россия, Апатиты",92.53.118.115,OK,"43,13","43,28","43,23"
"Россия, Владивосток",92.53.118.115,OK,"137,12","137,38","137,22"
"Россия, Владимир",92.53.118.115,OK,"11,02","11,07","11,05"
"Россия, Дубровка",92.53.118.115,OK,"1,44","1,54","1,48"
"Россия, Екатеринбург, запад",92.53.118.115,OK,"36,65","36,82","36,72"
"Россия, Екатеринбург, север",92.53.118.115,OK,"42,05","42,22","42,13"
"Россия, Екатеринбург, юг",92.53.118.115,OK,"39,14","46,24","41,56"
"Россия, Казань",92.53.118.115,OK,"29,59","30,19","29,94"
"Россия, Калининград",92.53.118.115,OK,"35,8","39,73","37,23"
"Россия, Кемерово",92.53.118.115,OK,"65,58","65,66","65,63"
"Россия, Королёв",92.53.118.115,OK,"10,69","274,29","100,27"
"Россия, Краснодар",92.53.118.115,OK,"24,18","25,37","24,92"
"Россия, Красноярск",92.53.118.115,OK,"63,88","63,99","63,92"
"Россия, Нижний Новгород",92.53.118.115,OK,"18,99","29,8","26,11"
"Россия, Новокузнецк",92.53.118.115,OK,"67,73","67,75","67,74"
"Россия, Новосибирск, север",92.53.118.115,OK,"57,09","58,03","57,68"
"Россия, Новосибирск, юг",92.53.118.115,OK,"56,11","56,18","56,15"
"Россия, Омск",92.53.118.115,OK,"47,78","48,63","48,16"
"Россия, Пермь",92.53.118.115,OK,"34,99","35,95","35,63"
"Россия, Петрозаводск",92.53.118.115,OK,"26,11","26,4","26,23"
"Россия, Ростов-на-Дону",92.53.118.115,OK,"24,43","24,46","24,45"
"Россия, Санкт-Петербург, восток",92.53.118.115,OK,"0,4","0,58","0,47"
"Россия, Санкт-Петербург, центр 1",92.53.118.115,OK,"1,26","1,5","1,34"
"Россия, Санкт-Петербург, центр 2",92.53.118.115,OK,"0,38","0,39","0,39"
"Россия, Санкт-Петербург, юг",92.53.118.115,OK,"0,87","0,94","0,91"
"Россия, Саратов",92.53.118.115,OK,"21,73","21,74","21,73"
"Россия, Симферополь",92.53.118.115,OK,"31,55","32,29","32,03"
"Россия, Тамбов",92.53.118.115,OK,"15,11","18,29","16,17"
"Россия, Томск, восток",92.53.118.115,OK,"60,98","61,13","61,07"
"Россия, Томск, северо-запад",92.53.118.115,OK,"62,27","62,6","62,42"
"Россия, Томск, центр",92.53.118.115,OK,"64,72","65,19","64,93"
"Россия, Тюмень",92.53.118.115,OK,"41,17","42,56","41,79"
"Россия, Уфа",92.53.118.115,OK,"33,44","34,03","33,81"
"Россия, Хабаровск",92.53.118.115,OK,"126,78","126,86","126,81"
"Россия, Химки",92.53.118.115,OK,"9,89","10,02","9,96"
"Россия, Челябинск",92.53.118.115,OK,"44,96","45,1","45,02"
"Россия, Южно-Сахалинск",92.53.118.115,OK,"159,12","159,25","159,2"
"Россия, Ярославль",92.53.118.115,OK,"12,63","12,94","12,77"
"Азербайджан, Баку",92.53.118.115,OK,"75,17","75,49","75,31"
"Белоруссия, Минск",92.53.118.115,OK,"23,54","23,63","23,59"
"Грузия, Тбилиси",92.53.118.115,OK,"70,18","70,64","70,34"
"Казахстан, Алатау",92.53.118.115,OK,"75,44","75,9","75,73"
"Казахстан, Алматы",92.53.118.115,OK,"149,13","152,82","150,83"
"Казахстан, Караганда",92.53.118.115,OK,"76,08","76,61","76,27"
"Киргизия, Бишкек 1",92.53.118.115,OK,"81,07","81,19","81,12"
"Киргизия, Бишкек 2",92.53.118.115,OK,"63,86","64,17",64
"Латвия, Рига",92.53.118.115,OK,"20,42","20,6","20,51"
"Литва, Вильнюс",92.53.118.115,OK,"28,39","28,54","28,45"
"Молдавия, Кишинёв",92.53.118.115,OK,"68,28","68,4","68,34"
"Узбекистан, Ташкент",92.53.118.115,OK,"80,88","85,15","82,31"
"Украина, Днепр",92.53.118.115,OK,"27,78","27,89","27,83"
"Украина, Киев, восток",92.53.118.115,OK,"25,39","26,02","25,61"
"Украина, Киев, запад",92.53.118.115,OK,"18,19","18,42","18,3"
"Украина, Киев, запад",92.53.118.115,OK,"62,77","62,81","62,79"
"Украина, Киев, центр",92.53.118.115,OK,"39,74","39,76","39,75"
"Украина, Киев, юг",92.53.118.115,OK,"56,85","56,91","56,87"
"Украина, Киев, юго-восток",92.53.118.115,OK,"27,62","27,67","27,64"
"Украина, Николаев",92.53.118.115,OK,"52,78","52,81","52,8"
"Украина, Одесса, восток",92.53.118.115,OK,"36,03","36,85","36,39"
