Точка мониторинга,IP,Результат,"RTT (мин.), мс.","RTT (макс.), мс.","RTT (сред.), мс."
"Россия, Москва, восток 1",188.225.27.13,OK,"8,21","8,36","8,26"
"Россия, Москва, восток 2",188.225.27.13,OK,"8,37","8,61","8,46"
"Россия, Москва, восток 3",188.225.27.13,OK,"9,51","9,73","9,61"
"Россия, Москва, запад 1",188.225.27.13,OK,"9,77","9,84","9,8"
"Россия, Москва, запад 2",188.225.27.13,Потеряно 25% пакетов,"10,35","12,03","10,94"
"Россия, Москва, запад 3",188.225.27.13,OK,"8,18","8,4","8,26"
"Россия, Москва, запад 4",188.225.27.13,OK,11,"11,02","11,01"
"Россия, Москва, север",188.225.27.13,OK,"7,97","8,7","8,23"
"Россия, Москва, северо-восток 1",188.225.27.13,OK,"8,52","9,99","9,04"
"Россия, Москва, северо-восток 2",188.225.27.13,OK,10,"11,62","10,6"
"Россия, Москва, северо-восток 3",188.225.27.13,OK,"10,25","10,35","10,31"
"Россия, Москва, северо-восток 4",188.225.27.13,OK,"8,33","11,64","9,57"
"Россия, Москва, северо-запад",188.225.27.13,OK,"9,73","9,83","9,8"
"Россия, Москва, центр 1",188.225.27.13,OK,"8,7","8,85","8,77"
"Россия, Москва, центр 2",188.225.27.13,OK,"8,66","117,67","45,34"
"Россия, Москва, центр 3",188.225.27.13,OK,"8,37","8,58","8,48"
"Россия, Москва, центр 4",188.225.27.13,OK,"8,31","8,35","8,33"
"Россия, Москва, юг 1",188.225.27.13,OK,"9,29","9,47","9,38"
"Россия, Москва, юг 2",188.225.27.13,OK,"7,44","7,53","7,48"
"Россия, Москва, юго-восток",188.225.27.13,OK,"42,74","44,34","43,3"
"Россия, Москва, юго-запад",188.225.27.13,OK,"8,32","9,53","8,83"
"Россия, Апатиты",188.225.27.13,OK,"49,71","49,81","49,75"
"Россия, Владивосток",188.225.27.13,OK,"137,13","137,17","137,14"
"Россия, Владимир",188.225.27.13,OK,"12,16","12,36","12,28"
"Россия, Дубровка",188.225.27.13,OK,"1,44","1,67","1,57"
"Россия, Екатеринбург, запад",188.225.27.13,OK,"36,85","37,02","36,91"
"Россия, Екатеринбург, север",188.225.27.13,OK,"36,24","36,27","36,25"
"Россия, Екатеринбург, юг",188.225.27.13,OK,"39,69","40,25","39,95"
"Россия, Казань",188.225.27.13,OK,"27,99","32,3","30,17"
"Россия, Калининград",188.225.27.13,OK,"31,11","31,37","31,23"
"Россия, Кемерово",188.225.27.13,OK,"62,67","62,9","62,76"
"Россия, Королёв",188.225.27.13,OK,"10,26","14,27","12,53"
"Россия, Краснодар",188.225.27.13,OK,"24,37","25,32","24,93"
"Россия, Красноярск",188.225.27.13,OK,"71,47","71,55","71,52"
"Россия, Нижний Новгород",188.225.27.13,OK,"14,29","26,65","18,83"
"Россия, Новокузнецк",188.225.27.13,OK,"65,84","66,46","66,06"
"Россия, Новосибирск, север",188.225.27.13,OK,"56,6","57,82","57,02"
"Россия, Новосибирск, юг",188.225.27.13,OK,"55,81","57,02","56,49"
"Россия, Омск",ERROR_MP_NA,,,,
"Россия, Пермь",188.225.27.13,OK,"36,35","37,26","36,88"
"Россия, Петрозаводск",188.225.27.13,OK,"25,74","26,02","25,88"
"Россия, Ростов-на-Дону",188.225.27.13,OK,"24,91","25,63","25,16"
"Россия, Санкт-Петербург, восток",188.225.27.13,OK,"0,54","0,6","0,57"
"Россия, Санкт-Петербург, центр 1",188.225.27.13,OK,"1,44","1,56","1,5"
"Россия, Санкт-Петербург, центр 2",188.225.27.13,OK,"0,41","0,45","0,43"
"Россия, Санкт-Петербург, юг",188.225.27.13,OK,"0,8","0,89","0,84"
"Россия, Саратов",188.225.27.13,OK,"23,62","25,31","24,21"
"Россия, Симферополь",188.225.27.13,OK,"31,4","32,31","31,71"
"Россия, Тамбов",188.225.27.13,Потеряно 25% пакетов,"18,3","19,65","18,87"
"Россия, Томск, восток",188.225.27.13,OK,"98,46","98,69","98,59"
"Россия, Томск, северо-запад",188.225.27.13,OK,"65,76","65,92","65,85"
"Россия, Томск, центр",188.225.27.13,OK,"64,53","64,78","64,67"
"Россия, Тюмень",188.225.27.13,OK,"51,14","56,15","54,18"
"Россия, Уфа",188.225.27.13,Потеряно 25% пакетов,"27,89","29,25","28,77"
"Россия, Хабаровск",188.225.27.13,OK,"127,18","127,47","127,33"
"Россия, Химки",188.225.27.13,OK,"9,12","9,18","9,14"
"Россия, Челябинск",188.225.27.13,OK,"45,38","46,36","45,7"
"Россия, Южно-Сахалинск",188.225.27.13,OK,"164,61","164,76","164,68"
"Россия, Ярославль",188.225.27.13,OK,"14,1","14,24","14,16"
"Азербайджан, Баку",188.225.27.13,OK,"64,33","65,53","64,75"
"Белоруссия, Минск",188.225.27.13,OK,"22,63","22,73","22,68"
"Грузия, Тбилиси",188.225.27.13,OK,"75,66","81,62","77,73"
"Казахстан, Алатау",188.225.27.13,OK,"70,72","70,95","70,82"
"Казахстан, Алматы",188.225.27.13,OK,"67,4","67,68","67,49"
"Казахстан, Караганда",188.225.27.13,OK,"58,12","58,2","58,16"
"Киргизия, Бишкек 1",188.225.27.13,OK,"65,1","65,41","65,25"
"Киргизия, Бишкек 2",188.225.27.13,OK,"64,91","65,48","65,29"
"Латвия, Рига",188.225.27.13,OK,"21,55","21,68","21,63"
"Литва, Вильнюс",188.225.27.13,OK,"46,38","46,66","46,51"
"Молдавия, Кишинёв",188.225.27.13,OK,"54,09","54,18","54,14"
"Узбекистан, Ташкент",188.225.27.13,OK,"93,6",94,"93,78"
"Украина, Днепр",188.225.27.13,OK,"31,09","31,28","31,16"
"Украина, Киев, восток",188.225.27.13,OK,"26,72","26,86","26,79"
"Украина, Киев, запад",188.225.27.13,OK,"19,11","19,23","19,17"
"Украина, Киев, запад",188.225.27.13,OK,"47,11","47,49","47,25"
"Украина, Киев, центр",188.225.27.13,OK,"36,64","38,42","37,83"
"Украина, Киев, юг",188.225.27.13,OK,"72,54","72,69","72,61"
"Украина, Киев, юго-восток",188.225.27.13,OK,"25,21","25,3","25,26"
"Украина, Николаев",188.225.27.13,OK,"45,79","46,04","45,92"
"Украина, Одесса, восток",188.225.27.13,OK,"35,64","35,85","35,72"
"Украина, Одесса, запад",188.225.27.13,OK,"37,47",38,"37,7"
"Украина, Харьков, север",188.225.27.13,OK,"18,13","18,27","18,18"
"Украина, Харьков, юг",188.225.27.13,OK,"18,93","19,29","19,07"
"Украина, Хмельницкий",188.225.27.13,OK,"32,6","32,66","32,63"
"Эстония, Таллинн",188.225.27.13,OK,8,"8,77","8,28"
