Точка мониторинга,IP,Результат,"RTT (мин.), мс.","RTT (макс.), мс.","RTT (сред.), мс."
"Россия, Москва, восток 1",188.225.27.13,OK,"8,2","10,23","9,22"
"Россия, Москва, восток 2",188.225.27.13,OK,"8,66","9,1","8,81"
"Россия, Москва, восток 3",188.225.27.13,OK,"9,72","10,76","10,1"
"Россия, Москва, запад 1",188.225.27.13,OK,"9,88","10,22","10,06"
"Россия, Москва, запад 2",188.225.27.13,OK,"10,58","15,74","12,44"
"Россия, Москва, запад 3",188.225.27.13,OK,"8,28","8,34","8,3"
"Россия, Москва, запад 4",188.225.27.13,OK,"10,97","11,15","11,04"
"Россия, Москва, север",188.225.27.13,OK,"8,11","8,2","8,16"
"Россия, Москва, северо-восток 1",188.225.27.13,OK,"8,41","8,56","8,5"
"Россия, Москва, северо-восток 2",188.225.27.13,OK,"10,48","11,11","10,82"
"Россия, Москва, северо-восток 3",188.225.27.13,Потеряно 40% пакетов,"10,11","10,6","10,31"
"Россия, Москва, северо-восток 4",188.225.27.13,OK,"9,61","11,18","10,2"
"Россия, Москва, северо-запад",188.225.27.13,OK,"10,99","11,42","11,23"
"Россия, Москва, центр 1",188.225.27.13,OK,"10,16","10,2","10,18"
"Россия, Москва, центр 2",188.225.27.13,OK,"8,64","9,23","8,92"
"Россия, Москва, центр 3",188.225.27.13,OK,"8,58","8,68","8,62"
"Россия, Москва, центр 4",188.225.27.13,OK,"8,55","11,28","9,48"
"Россия, Москва, юг 1",188.225.27.13,OK,"9,41","14,04",11
"Россия, Москва, юг 2",188.225.27.13,OK,"7,51","9,19","8,08"
"Россия, Москва, юго-восток",188.225.27.13,OK,"43,76","47,04","45,24"
"Россия, Москва, юго-запад",188.225.27.13,OK,"8,94","9,38","9,2"
"Россия, Апатиты",188.225.27.13,OK,"50,18","50,27","50,23"
"Россия, Владивосток",188.225.27.13,OK,"137,09","137,22","137,16"
"Россия, Владимир",188.225.27.13,OK,"12,2","13,32","12,66"
"Россия, Дубровка",188.225.27.13,OK,"1,5","1,55","1,53"
"Россия, Екатеринбург, запад",188.225.27.13,OK,"36,86","37,39","37,07"
"Россия, Екатеринбург, север",188.225.27.13,OK,"38,17","38,34","38,23"
"Россия, Екатеринбург, юг",188.225.27.13,OK,"35,59","41,61","37,78"
"Россия, Казань",188.225.27.13,OK,"29,58","29,88","29,72"
"Россия, Калининград",188.225.27.13,OK,35,"35,65","35,36"
"Россия, Кемерово",188.225.27.13,OK,"62,09","62,21","62,15"
"Россия, Королёв",188.225.27.13,OK,"10,16","10,81","10,46"
"Россия, Краснодар",188.225.27.13,OK,"25,65","26,81","26,35"
"Россия, Красноярск",188.225.27.13,OK,"64,08","65,28","64,48"
"Россия, Нижний Новгород",188.225.27.13,OK,"16,34","16,89","16,7"
"Россия, Новокузнецк",188.225.27.13,OK,"67,12","67,32","67,25"
"Россия, Новосибирск, север",188.225.27.13,OK,"56,08","58,87","57,2"
"Россия, Новосибирск, юг",188.225.27.13,OK,"56,46",57,"56,72"
"Россия, Омск",188.225.27.13,OK,"52,42","52,9","52,61"
"Россия, Пермь",188.225.27.13,OK,"27,4","27,63","27,51"
"Россия, Петрозаводск",188.225.27.13,OK,"26,14","27,19","26,83"
"Россия, Ростов-на-Дону",188.225.27.13,OK,"25,02","25,54","25,32"
"Россия, Санкт-Петербург, восток",188.225.27.13,OK,"0,46","0,64","0,55"
"Россия, Санкт-Петербург, центр 1",188.225.27.13,OK,"1,61","3,37","2,76"
"Россия, Санкт-Петербург, центр 2",188.225.27.13,OK,"0,45","0,52","0,48"
"Россия, Санкт-Петербург, юг",188.225.27.13,OK,"0,85","1,16","1,01"
"Россия, Саратов",188.225.27.13,OK,"25,93","26,11","26,04"
"Россия, Симферополь",188.225.27.13,OK,"32,85","33,8","33,26"
"Россия, Тамбов",188.225.27.13,OK,"18,8","25,79","21,3"
"Россия, Томск, восток",188.225.27.13,OK,"99,78","99,89","99,83"
"Россия, Томск, северо-запад",188.225.27.13,OK,"65,55","66,66","66,03"
"Россия, Томск, центр",188.225.27.13,OK,"65,79","67,22","66,52"
"Россия, Тюмень",188.225.27.13,OK,"52,47","57,75","54,5"
"Россия, Уфа",188.225.27.13,OK,"26,72","28,06","27,33"
"Россия, Хабаровск",188.225.27.13,OK,"128,76","128,88","128,81"
