Точка мониторинга,IP,Результат,"RTT (мин.), мс.","RTT (макс.), мс.","RTT (сред.), мс."
"Россия, Москва, восток 1",46.229.212.120,OK,"9,59","11,23","10,25"
"Россия, Москва, восток 2",46.229.212.120,OK,"8,01","8,39","8,18"
"Россия, Москва, восток 3",46.229.212.120,OK,"9,42","9,92","9,62"
"Россия, Москва, запад 1",46.229.212.120,OK,"10,38","10,42","10,4"
"Россия, Москва, запад 2",46.229.212.120,OK,"10,22","10,65","10,38"
"Россия, Москва, запад 3",46.229.212.120,OK,"9,77","9,96","9,9"
"Россия, Москва, запад 4",46.229.212.120,OK,"10,04","10,68","10,26"
"Россия, Москва, север",46.229.212.120,OK,"8,01","8,74","8,26"
"Россия, Москва, северо-восток 1",46.229.212.120,OK,"8,95","8,97","8,96"
"Россия, Москва, северо-восток 2",46.229.212.120,OK,"9,98","11,9","10,64"
"Россия, Москва, северо-восток 3",46.229.212.120,OK,"10,11","10,16","10,13"
"Россия, Москва, северо-восток 4",46.229.212.120,OK,"8,41","8,62","8,49"
"Россия, Москва, северо-запад",46.229.212.120,OK,"8,92","9,13","9,05"
"Россия, Москва, центр 1",46.229.212.120,OK,"11,25","11,29","11,27"
"Россия, Москва, центр 2",46.229.212.120,OK,"8,92","9,06","8,99"
"Россия, Москва, центр 3",46.229.212.120,OK,"20,31","20,88","20,51"
"Россия, Москва, центр 4",46.229.212.120,OK,"8,74","12,89","10,14"
"Россия, Москва, юг 1",46.229.212.120,OK,"9,55","12,46","10,9"
"Россия, Москва, юг 2",46.229.212.120,OK,"7,37","7,58","7,45"
"Россия, Москва, юго-восток",46.229.212.120,OK,"39,29","39,86","39,51"
"Россия, Москва, юго-запад",46.229.212.120,OK,"8,56","9,52","9,12"
"Россия, Апатиты",46.229.212.120,OK,"42,06","42,12","42,09"
"Россия, Владивосток",46.229.212.120,OK,"137,32","137,45","137,39"
"Россия, Владимир",46.229.212.120,OK,"10,94","10,95","10,95"
"Россия, Дубровка",46.229.212.120,OK,"1,3","5,11","2,59"
"Россия, Екатеринбург, запад",46.229.212.120,OK,"36,66","36,98","36,87"
"Россия, Екатеринбург, север",46.229.212.120,OK,"52,06","52,39","52,21"
"Россия, Екатеринбург, юг",46.229.212.120,OK,"42,01","52,02","47,58"
"Россия, Казань",46.229.212.120,OK,"28,03","29,34","28,87"
"Россия, Калининград",46.229.212.120,OK,"31,64","32,45","31,97"
"Россия, Кемерово",46.229.212.120,OK,"70,31","70,35","70,33"
"Россия, Королёв",46.229.212.120,OK,"10,67","17,24","13,11"
"Россия, Краснодар",46.229.212.120,OK,"27,07","27,39","27,28"
"Россия, Красноярск",46.229.212.120,OK,"50,18","53,12","51,16"
"Россия, Нижний Новгород",46.229.212.120,OK,"16,27","16,73","16,56"
"Россия, Новокузнецк",46.229.212.120,OK,"69,58","75,19","71,53"
"Россия, Новосибирск, север",46.229.212.120,OK,"57,52","58,39","58,02"
"Россия, Новосибирск, юг",46.229.212.120,OK,"56,65","57,15","56,86"
"Россия, Омск",46.229.212.120,OK,"48,48","48,7","48,62"
"Россия, Пермь",46.229.212.120,OK,"28,23","28,38","28,29"
"Россия, Петрозаводск",46.229.212.120,OK,"28,79","28,85","28,82"
"Россия, Ростов-на-Дону",46.229.212.120,OK,"26,48","26,58","26,54"
"Россия, Санкт-Петербург, восток",46.229.212.120,OK,"10,88","11,18","11,03"
"Россия, Санкт-Петербург, центр 1",46.229.212.120,OK,"8,26","8,51","8,42"
"Россия, Санкт-Петербург, центр 2",46.229.212.120,OK,"0,41","0,5","0,44"
"Россия, Санкт-Петербург, юг",46.229.212.120,OK,"2,28","6,11","3,92"
"Россия, Саратов",46.229.212.120,OK,"22,8","22,92","22,88"
"Россия, Симферополь",46.229.212.120,Потеряно 25% пакетов,"33,65","34,6",34
"Россия, Тамбов",46.229.212.120,OK,"16,15","21,61","18,01"
"Россия, Томск, восток",46.229.212.120,OK,"61,03","61,07","61,05"
"Россия, Томск, северо-запад",46.229.212.120,OK,"63,76","64,08","63,89"
"Россия, Томск, центр",46.229.212.120,OK,"63,85","64,01","63,94"
"Россия, Тюмень",46.229.212.120,OK,"44,28","50,59","46,83"
"Россия, Уфа",46.229.212.120,OK,"34,88",37,"35,83"
"Россия, Хабаровск",46.229.212.120,OK,"116,99","117,08","117,02"
"Россия, Химки",46.229.212.120,OK,"8,54","8,57","8,55"
"Россия, Челябинск",46.229.212.120,OK,"45,05","45,39","45,22"
"Россия, Южно-Сахалинск",46.229.212.120,OK,"152,89","153,39","153,15"
"Россия, Ярославль",46.229.212.120,OK,"12,69","13,1","12,89"
"Азербайджан, Баку",46.229.212.120,OK,"73,31","74,97","74,03"
"Белоруссия, Минск",46.229.212.120,OK,"28,41",29,"28,67"
"Грузия, Тбилиси",46.229.212.120,OK,"74,05","74,62","74,25"
"Казахстан, Алатау",46.229.212.120,OK,"70,41","81,22","76,66"
"Казахстан, Алматы",46.229.212.120,OK,"164,89","170,42","166,79"
"Казахстан, Караганда",46.229.212.120,OK,"73,59","74,17","73,83"
"Киргизия, Бишкек 1",46.229.212.120,OK,"81,66","81,99","81,84"
"Киргизия, Бишкек 2",46.229.212.120,OK,"63,84","64,14","63,99"
"Латвия, Рига",46.229.212.120,OK,"12,16","12,19","12,18"
"Литва, Вильнюс",46.229.212.120,OK,"28,66","28,7","28,68"
"Молдавия, Кишинёв",46.229.212.120,OK,"71,9","72,05","71,98"
"Узбекистан, Ташкент",46.229.212.120,OK,"89,61","90,13","89,8"
"Украина, Днепр",46.229.212.120,OK,"28,2","28,26","28,23"
"Украина, Киев, восток",46.229.212.120,OK,"30,01","30,06","30,04"
"Украина, Киев, запад",46.229.212.120,OK,"44,7","45,03","44,87"
"Украина, Киев, запад",46.229.212.120,OK,"59,12","59,13","59,13"
"Украина, Киев, центр",46.229.212.120,OK,"53,37","53,4","53,38"
"Украина, Киев, юг",46.229.212.120,OK,"57,98","58,22","58,12"
"Украина, Киев, юго-восток",46.229.212.120,OK,"24,5","24,59","24,54"
"Украина, Николаев",46.229.212.120,OK,"52,84","53,22","52,98"
"Украина, Одесса, восток",46.229.212.120,OK,"35,46","35,63","35,56"
"Украина, Одесса, запад",46.229.212.120,OK,"33,66","33,73","33,7"
"Украина, Харьков, север",46.229.212.120,OK,"44,14","44,35","44,22"
"Украина, Харьков, юг",46.229.212.120,OK,"18,93","19,45","19,27"
"Украина, Хмельницкий",46.229.212.120,OK,"48,76","48,85","48,8"
"Эстония, Таллинн",46.229.212.120,OK,"8,02","8,14","8,07"
