Точка мониторинга,IP,Результат,"RTT (мин.), мс.","RTT (макс.), мс.","RTT (сред.), мс."
"Россия, Москва, восток 1",46.229.212.120,OK,"10,23","10,36","10,28"
"Россия, Москва, восток 2",46.229.212.120,OK,"9,54","9,61","9,56"
"Россия, Москва, восток 3",46.229.212.120,OK,"47,33","49,13","48,28"
"Россия, Москва, запад 1",46.229.212.120,OK,"11,09","11,19","11,14"
"Россия, Москва, запад 2",46.229.212.120,OK,"9,96","10,84","10,38"
"Россия, Москва, запад 3",46.229.212.120,OK,"8,48","8,56","8,52"
"Россия, Москва, запад 4",46.229.212.120,OK,"11,17","11,29","11,25"
"Россия, Москва, север",46.229.212.120,OK,"8,03","9,12","8,51"
"Россия, Москва, северо-восток 1",46.229.212.120,OK,"10,29","34,22","18,55"
"Россия, Москва, северо-восток 2",46.229.212.120,OK,"13,38","15,41","14,4"
"Россия, Москва, северо-восток 3",46.229.212.120,Потеряно 25% пакетов,"10,09","11,66","10,92"
"Россия, Москва, северо-восток 4",46.229.212.120,OK,"9,75","11,43","10,59"
"Россия, Москва, северо-запад",46.229.212.120,OK,"9,8","9,98","9,87"
"Россия, Москва, центр 1",46.229.212.120,OK,"9,74","10,25","9,93"
"Россия, Москва, центр 2",46.229.212.120,OK,"9,38","9,47","9,43"
"Россия, Москва, центр 3",46.229.212.120,OK,"22,01","22,13","22,06"
"Россия, Москва, центр 4",46.229.212.120,OK,"10,09","10,18","10,13"
"Россия, Москва, юг 1",46.229.212.120,OK,"9,65","10,98","10,14"
"Россия, Москва, юг 2",46.229.212.120,OK,"9,15","10,52","9,74"
"Россия, Москва, юго-восток",46.229.212.120,OK,"40,94","42,3","41,51"
"Россия, Москва, юго-запад",46.229.212.120,OK,"8,24","9,44","8,95"
"Россия, Апатиты",46.229.212.120,OK,"41,72","41,82","41,77"
"Россия, Владивосток",46.229.212.120,OK,"137,19","137,47","137,34"
"Россия, Владимир",46.229.212.120,OK,"10,94","11,13","11,03"
"Россия, Дубровка",46.229.212.120,OK,"11,81","11,97","11,87"
"Россия, Екатеринбург, запад",46.229.212.120,OK,48,"49,11","48,63"
"Россия, Екатеринбург, север",46.229.212.120,OK,"36,87",37,"36,92"
"Россия, Екатеринбург, юг",46.229.212.120,OK,"31,95","32,21","32,05"
"Россия, Казань",46.229.212.120,Потеряно 25% пакетов,"27,85","29,1","28,56"
"Россия, Калининград",46.229.212.120,Потеряно 40% пакетов,"32,16","38,68","34,92"
"Россия, Кемерово",46.229.212.120,OK,"64,37","64,42","64,4"
"Россия, Королёв",46.229.212.120,OK,"12,55","13,06","12,86"
"Россия, Краснодар",46.229.212.120,OK,"25,22","26,13","25,64"
"Россия, Красноярск",46.229.212.120,OK,"74,68","74,8","74,74"
"Россия, Нижний Новгород",46.229.212.120,OK,"16,45","31,6","25,98"
"Россия, Новокузнецк",46.229.212.120,OK,"67,9","68,11",68
"Россия, Новосибирск, север",46.229.212.120,OK,"55,15","55,42","55,28"
"Россия, Новосибирск, юг",46.229.212.120,OK,"58,6","58,8","58,72"
"Россия, Омск",46.229.212.120,OK,53,"53,47","53,19"
"Россия, Пермь",46.229.212.120,OK,"47,65","47,89","47,79"
"Россия, Петрозаводск",46.229.212.120,OK,"25,79","26,29","25,98"
"Россия, Ростов-на-Дону",46.229.212.120,OK,"26,21","26,49","26,31"
"Россия, Санкт-Петербург, восток",46.229.212.120,OK,"10,98","16,93","14,04"
"Россия, Санкт-Петербург, центр 1",46.229.212.120,OK,"8,42","8,52","8,47"
"Россия, Санкт-Петербург, центр 2",46.229.212.120,OK,"0,67","1,01","0,8"
"Россия, Санкт-Петербург, юг",46.229.212.120,OK,"39,13","45,02","42,96"
"Россия, Саратов",46.229.212.120,OK,"23,37","24,41","23,74"
"Россия, Симферополь",46.229.212.120,OK,"32,43","32,46","32,45"
"Россия, Тамбов",46.229.212.120,OK,"16,91","19,99","18,43"
"Россия, Томск, восток",46.229.212.120,OK,"97,4","97,49","97,46"
"Россия, Томск, северо-запад",46.229.212.120,OK,"62,02","62,47","62,2"
"Россия, Томск, центр",46.229.212.120,OK,"63,89","64,61","64,13"
"Россия, Тюмень",46.229.212.120,OK,"52,47","53,68","53,02"
"Россия, Уфа",46.229.212.120,OK,"40,97","41,91","41,58"
"Россия, Хабаровск",46.229.212.120,OK,"146,11","149,06","147,62"
"Россия, Химки",46.229.212.120,OK,"8,49","8,55","8,52"
"Россия, Челябинск",46.229.212.120,OK,"46,42","46,47","46,45"
"Россия, Южно-Сахалинск",46.229.212.120,OK,"209,16","219,21","215,26"
"Россия, Ярославль",46.229.212.120,OK,"25,98","26,29","26,17"
"Азербайджан, Баку",46.229.212.120,OK,"73,32","74,52","73,89"
"Белоруссия, Минск",46.229.212.120,OK,"21,5","21,7","21,59"
"Грузия, Тбилиси",46.229.212.120,OK,"80,62","81,12","80,79"
"Казахстан, Алатау",46.229.212.120,OK,"74,58","74,93","74,72"
"Казахстан, Алматы",46.229.212.120,OK,"63,91","64,17","64,01"
"Казахстан, Караганда",46.229.212.120,OK,"57,6","72,64","63,52"
"Киргизия, Бишкек 1",46.229.212.120,OK,"66,66","66,88","66,76"
"Киргизия, Бишкек 2",46.229.212.120,OK,"93,96","94,07","94,01"
"Латвия, Рига",46.229.212.120,OK,"36,46","37,66","37,07"
"Литва, Вильнюс",46.229.212.120,OK,"46,37","46,58","46,47"
"Молдавия, Кишинёв",46.229.212.120,OK,"72,04","72,72","72,32"
"Узбекистан, Ташкент",46.229.212.120,OK,"84,32","89,38","86,45"
"Украина, Днепр",46.229.212.120,OK,"28,2","28,46","28,3"
"Украина, Киев, восток",46.229.212.120,OK,"29,06","29,5","29,23"
"Украина, Киев, запад",46.229.212.120,OK,"19,07","19,2","19,13"
"Украина, Киев, запад",46.229.212.120,OK,"43,75","43,78","43,76"
"Украина, Киев, центр",46.229.212.120,OK,"27,7","27,76","27,73"
"Украина, Киев, юг",46.229.212.120,OK,"64,43","64,52","64,47"
"Украина, Киев, юго-восток",46.229.212.120,OK,26,"26,09","26,04"
"Украина, Николаев",46.229.212.120,OK,"52,8","53,05","52,9"
"Украина, Одесса, восток",46.229.212.120,OK,"34,91","35,36","35,09"
"Украина, Одесса, запад",46.229.212.120,OK,"39,54","39,81","39,64"
"Украина, Харьков, север",46.229.212.120,OK,"19,78","20,46","20,01"
"Украина, Харьков, юг",46.229.212.120,OK,"19,35","25,56","22,76"
"Украина, Хмельницкий",46.229.212.120,OK,"28,8","29,68","29,31"
"Эстония, Таллинн",46.229.212.120,OK,"38,31","40,03","39,2"
